gc,gf,gsm,G,Gc,Gf,Gstm
25,18,34,-0.374483985539287,-0.428389335228707,-0.56438941078202,0.689352431139185
27,30,18,-0.475933885058515,0.120965362811321,-0.658670032842733,-0.777523152271995
42,32,56,1.099942821355,0.742421917586447,-0.182494370648733,1.78508029367722
32,35,31,0.0545474888602334,0.321345369767768,-0.220951595687243,0.133590502749066
27,10,16,-0.579314597455852,0.303361065201224,-0.0882657865891766,-0.853837576582187
34,10,21,0.0853250730151069,0.669855894737128,-0.311626317811569,-0.595004488536172
40,31,18,0.475216594573024,1.23873059136478,-1.39466526217483,-0.9809883248635
22,19,21,-0.630612761893879,-0.530953083160072,0.895834566462178,-0.679358957932972
27,10,30,-0.397459693503993,0.0300981155919958,-1.03263698900696,0.343352844351424
33,32,23,0.346652589534798,0.129140352160574,-0.788613608243936,-0.485378926808272
32,17,28,0.396403680971939,-0.0772890165437707,1.08567072935777,-0.145612800121363
36,19,21,0.279386871543671,0.722498019138703,-1.39235740283027,-0.643314154472251
29,26,20,-0.0149743738611532,-0.125136654820656,-1.18843352254527,-0.804334493666082
34,33,19,0.515531672033831,0.112327993240659,-0.354475445993491,-0.930315183665244
37,29,16,0.209400827281185,1.05161727076828,-0.866295215913846,-0.926572455806736
22,22,30,-0.735531551297018,-0.466632434295438,-0.533815539908706,-0.298579072782452
21,22,39,-1.28195785082389,0.0777010982179507,-0.839779717478435,1.2455208971746
28,19,44,-0.158079456485025,-0.14117738725342,-0.731759051935709,1.12412331090467
26,27,17,-0.480854865561325,-0.0480747575271891,0.318295494644472,-0.915971401014525
24,23,28,-0.651799435881455,-0.153321876978362,0.394550284255597,0.0881527413611995
24,24,27,0.03805244953049,-1.14786716059314,0.749547637148743,-0.256787720527303
12,25,43,-2.07720103198909,-0.431484288404726,0.434535130855235,1.76510890907443
31,21,7,-0.376943925525557,0.760635725528931,-1.12123086653528,-1.52406363970415
32,33,46,0.33786289166786,-0.0349684682013305,-1.76356046532195,1.04097827185483
37,35,28,0.890015228217067,0.174904515091056,0.0358458969582368,-0.139784747702887
36,23,23,0.283469694753039,0.758753551741449,-1.31659753920415,-0.101189339367596
42,16,23,1.25820002970771,0.563836140453002,-0.554110797448465,-0.499916794527778
38,15,26,0.76312476092324,0.488821054619029,-0.950580619778064,-0.513119331934419
20,13,44,-1.53014633391916,0.181628287338154,-0.302410291623557,1.79646463230766
38,16,37,0.746853882901578,0.50040021493556,-0.550159143450714,0.347891293802326
20,16,16,-0.790506461609595,-0.747183501628032,1.459267676498,-0.856331110741817
38,5,33,0.46457659599155,0.869368512645827,-1.44873090645073,0.194370832323022
23,22,24,-0.559348585967225,-0.534214506603167,-0.54505471322438,-0.527926116647406
34,42,34,0.35139137648663,0.242975257849572,-1.26685887548036,0.426480705303412
33,17,30,0.568780710037214,-0.144836838170247,0.144484686152686,-0.314625374054337
34,30,23,0.268768547387361,0.412889417691549,0.631810183262912,-0.486298500677101
